Group,Metric,QUIS,Baseline,ONLYSTATS,Winner vs Baseline,Winner vs ONLYSTATS,Vai trò trong paper,Ý nghĩa khoa học,Kết luận cho bài báo
Core & Efficiency,1. Faithfulness,100.0%,100.0%,100.0%,Tie,Tie,Sanity floor,"Tỷ lệ insight có view-values tính lại đúng với dữ liệu gốc.","Điều kiện tiên quyết: cả 3 pipeline đều grounded 100% → mọi chênh lệch ở metric khác phản ánh chất lượng intent/question."
Core & Efficiency,2. Statistical Significance (Overall),74.7%,60.3%,92.0%,QUIS,ONLYSTATS†,QuGen vs Baseline,"Pattern-averaged significance (trung bình 4 pattern) để loại bias pattern-mix. QUIS +14.4pp vs Baseline. ONLYSTATS cao vì exhaustive enumeration tìm toàn bộ (B,M) có significance (upper bound thống kê).","QUIS beat Baseline +14.4pp: QuGen đặt hypothesis có ý nghĩa thống kê hơn LLM không có cấu trúc. † ONLYSTATS 92% là expected upper bound của exhaustive search — không phản ánh chất lượng phân tích, chỉ cho thấy systematic enumeration tìm được nhiều pattern significant hơn."
Core & Efficiency,2b. Pattern Coverage,4/4 (100%),3/4 (75%),4/4 (100%),QUIS,Tie,QuGen vs Baseline,"Số pattern có ≥1 insight với breakdown đúng kiểu / 4. Baseline thiếu ATTRIBUTION vì toàn bộ ATTRIBUTION insights dùng numeric breakdown.","QUIS 4/4 vs Baseline 3/4: QuGen đảm bảo đặt câu hỏi đúng trên cả 4 analytical pattern. ONLYSTATS cũng 4/4 nhờ schema enumeration — cho thấy schema awareness (dù từ QuGen hay enumeration) đủ để đảm bảo coverage."
Intent Layer Quality,12. Structural Validity Rate,100.0% (97/97),43.0% (37/86),100.0% (93/93),QUIS,Tie,QuGen vs Baseline (core evidence),"% insights có breakdown type đúng cho pattern (TREND→Temporal ATTRIBUTION/DD→Categorical). Metric mới — gap lớn nhất trong toàn evaluation +57pp QUIS vs Baseline.","QUIS 100% vs Baseline 43%: LLM không có cấu trúc vi phạm semantic constraint ở 57% insights. ONLYSTATS cũng 100% vì IsGen enforce TREND rule nội tại. Kết luận: SVR phân biệt *schema-aware* (QUIS ONLYSTATS) khỏi *unstructured LLM* (Baseline) — QuGen là một cách đạt schema awareness, không phải cách duy nhất."
Intent Layer Quality,12a. SVR — ATTRIBUTION,100% (24/24),0% (0/11),100% (15/15),QUIS,Tie,QuGen vs Baseline (strongest evidence),"ATTRIBUTION cần categorical breakdown. Baseline 0%: toàn bộ 11 insights dùng Total Sales / Units Sold làm B — vi phạm hoàn toàn.","Bằng chứng cực đoan nhất: Baseline 0% không phải vì thiếu insights, mà vì LLM luôn chọn numeric breakdown cho ATTRIBUTION. QuGen (và schema enumeration) hiểu ATTRIBUTION cần descriptor column, không phải numeric target."
Intent Layer Quality,12a. SVR — TREND,100% (3/3),38% (15/39),100% (10/10),QUIS,Tie,QuGen vs Baseline,"TREND cần temporal breakdown. 24/39 baseline TREND insights dùng Retailer Region (categorical) thay vì Invoice Date.","Baseline 38%: QuGen hiểu TREND yêu cầu trục thời gian → chọn Invoice Date. ONLYSTATS 100% nhờ IsGen filter nội tại (basic_insight.py skip TREND cho non-temporal column)."
Subspace Deep-dive,7. Subspace Rate,45/97 (46.4%),32/86 (37.2%),33/93 (35.5%),QUIS,QUIS ★★★,Ablation key metric — QuGen unique contribution,"% insights có subspace filter. Metric DUY NHẤT QUIS vượt cả Baseline lẫn ONLYSTATS. +10.9pp vs ONLYSTATS +9.2pp vs Baseline.","★★★ Contribution cốt lõi của QuGen: sinh câu hỏi conditional ('trong nhóm X…') → IsGen khám phá nhiều subspace insight hơn. ONLYSTATS (pure enumeration) không có khả năng này — question template không mang conditional context. Đây là bằng chứng thực nghiệm rõ ràng nhất cho giá trị của QuGen so với ablation."
Intent Layer Quality,10c. BM — Actionability,1.000,0.677,1.000,QUIS,Tie,QuGen vs Baseline,"% cặp (B M) mà B là categorical — breakdown cho insight có thể hành động (subgroup discovery đúng nguyên tắc).","QUIS và ONLYSTATS đều 100%. Baseline 67.7%: LLM sinh numeric breakdown (Total Sales Units Sold) làm B — không actionable. Cho thấy bất kỳ approach nào tôn trọng schema classification đều đạt actionability cao — QuGen không cần thiết cho metric này."
Intent Layer Quality,11c. Question–Insight Alignment,0.563,0.576,—,Tie,—,Control (loại trừ giải thích thay thế),"Cosine similarity trung bình giữa embedding câu hỏi và embedding insight. Đo xem IsGen có thực sự trả lời câu hỏi QuGen đặt ra không. Không áp dụng cho ONLYSTATS (template alignment là artifact).","Control metric: gap QUIS–Baseline chỉ 0.013 (Tie) → IsGen execute câu hỏi trung thực ở cả hai pipeline. Kết luận: chênh lệch ở SVR/Subspace/Significance thực sự đến từ QuGen, không phải IsGen tốt hơn."
Intent Layer Quality,11e. Reason–Insight Coherence,0.571,0.510,—,QUIS,—,QuGen reasoning quality (QUIS vs Baseline only),"Cosine similarity giữa trường reason và insight. reason là output đặc trưng của QuGen. Không áp dụng cho ONLYSTATS (template reason là artifact).","QUIS +0.061 vs Baseline: reason của QuGen grounded bám sát slice/pattern cụ thể, không phải template chung. Đây là proxy cho *quality of reasoning* của QuGen — một khả năng mà neither Baseline nor ONLYSTATS có được."
