Group,Metric,QUIS,Baseline,Winner,Description,Ý nghĩa khoa học,Đóng góp nghiên cứu (QUGEN narrative)
Core & Efficiency,1. Faithfulness,100.0%,100.0%,Tie,Correctness — view-values khớp dữ liệu khi re-execute,"Tỷ lệ insight có view-values tính lại đúng với dữ liệu gốc; kiểm tra hallucination của LLM ở tầng số liệu.","Sanity floor cho mọi so sánh QUGEN phía sau: cả hai pipeline đều grounded số liệu (100%) nên mọi chênh lệch ở các metric khác phản ánh chất lượng *intent / question*, không phải lỗi tính toán."
Core & Efficiency,2. Statistical Significance (Overall),74.7%,60.3%,QUIS,Validity — pattern-averaged significance,"Tỷ lệ insight vượt ngưỡng p-value + effect size, lấy trung bình theo pattern (TREND, OUTSTANDING_VALUE, ATTRIBUTION, DIST_DIFF) để loại bias do pattern-mix lệch giữa hai hệ.","Bằng chứng gián tiếp QUGEN tốt sinh hypothesis tốt: câu hỏi do QUIS-QUGEN đặt ra dẫn tới slice/pattern có ý nghĩa thống kê cao hơn baseline +14.4pp — không phải nhiễu ngẫu nhiên."
Core & Efficiency,2b. Pattern Coverage,4/4 (100%),3/4 (75%),QUIS,Patterns with ≥1 structurally valid insight / 4 total patterns,"Số pattern trong {TREND, OUTSTANDING_VALUE, ATTRIBUTION, DISTRIBUTION_DIFFERENCE} mà hệ có ít nhất 1 insight với breakdown đúng kiểu. Phân biệt với việc chỉ *cố gắng* sinh insight cho một pattern nhưng sinh sai cấu trúc.","QUGEN của QUIS bao phủ toàn bộ 4 pattern space (4/4=100%). Baseline chỉ đạt 3/4 (75%) vì toàn bộ 11 ATTRIBUTION insight dùng numeric breakdown — vi phạm constraint cơ bản. Pattern Coverage là metric tổng hợp trực tiếp từ SVR."
Subspace Deep-dive,7. Subspace Rate,45/97 (46.4%),32/86 (37.2%),QUIS,Insights with subspace filter / total,"Tỷ lệ insight có non-empty subspace filter — đo mức độ khai thác conditional slice.","Hiệu ứng downstream rõ rệt nhất của QUGEN: QUIS-QUGEN sinh nhiều câu hỏi conditional ('trong nhóm X thì…') nên ISGEN tạo nhiều insight có subspace hơn baseline +9.2pp. Là cầu nối thực nghiệm giữa Intent Layer (QUGEN) và Insight Layer (ISGEN)."
Intent Layer Quality,10c. BM — Actionability,1.000,0.677,QUIS,% pairs with categorical breakdown,"Tỷ lệ cặp (B, M) mà B là categorical (Retailer / Region / Product…) — categorical breakdown cho insight có thể hành động.","Bằng chứng định lượng QUGEN của QUIS 'hiểu' nguyên tắc subgroup discovery (B phải là descriptor, không phải numeric target). Chênh +32.3pp — gap lớn nhất nhóm BM metrics. Liên hệ trực tiếp với SVR: 100% actionability phản ánh 0 vi phạm constraint categorical."
Intent Layer Quality,10d. BM — Diversity,0.454,0.360,QUIS,"Unique (B,M) pairs / total insights","Số cặp (breakdown, measure) duy nhất chia cho tổng insight.","Đo độ trải intent ở tầng *cấu trúc target*: QUIS +9.4pp ⇒ QUGEN đặt câu hỏi nhắm vào nhiều trục–đại lượng khác nhau thay vì lặp lại một vài cặp 'an toàn' — phơi bày breadth của QUGEN ở mức structured."
Intent Layer Quality,11c. Question–Insight Alignment,0.563,0.576,Tie,"Mean cosine(Embed(question), Embed(insight))","Cosine similarity trung bình giữa embedding câu hỏi và embedding insight string (breakdown|measure|pattern|subspace) trên cùng một item. Đo 'câu hỏi có thực sự được insight trả lời không'.","Control metric — gap nhỏ (Δ=0.013) chứng minh cả hai hệ đều có ISGEN faithfully execute câu hỏi. Kết luận: chênh lệch ở SVR/Actionability/Diversity thực sự đến từ QUGEN, không phải từ ISGEN disconnect."
Intent Layer Quality,11e. Reason–Insight Coherence,0.571,0.510,QUIS,"Mean cosine(Embed(reason), Embed(insight))","Cosine similarity trung bình giữa embedding của trường `reason` và insight string trên cùng insight. `reason` là output đặc trưng của QUGEN — giải thích vì sao câu hỏi đáng hỏi.","Metric duy nhất phụ thuộc hoàn toàn vào `reason` field — chỉ QUGEN-based pipeline mới sinh trường này có nghĩa. QUIS +0.061: reason của QUIS grounded bám sát slice/pattern thực tế, không phải template chung. Đây là proxy cho *quality of reasoning* của QUGEN."
Intent Layer Quality,12. Structural Validity Rate,100.0% (97/97),43.0% (37/86),QUIS,% insights với breakdown type đúng cho pattern — đo structural understanding của QUGEN,"Tỷ lệ insight có breakdown column phù hợp với yêu cầu của pattern: OUTSTANDING_VALUE (không ràng buộc), TREND (Temporal), ATTRIBUTION (Categorical/ID), DISTRIBUTION_DIFFERENCE (Categorical/ID). Metric kiểm tra xem QUGEN có *hiểu* semantic của từng pattern không.","Metric mới — gap lớn nhất trong toàn bộ evaluation (+57pp): QUIS-QUGEN luôn chọn đúng breakdown type (100%), baseline vi phạm constraint ở 57% insights (37/86 valid). Bằng chứng trực tiếp nhất cho contribution của QUGEN: không có QUGEN thì hệ sinh breakdown sai kiểu thường xuyên."
Intent Layer Quality,12a. SVR — ATTRIBUTION,100% (24/24),0% (0/11),QUIS,Structural validity cho ATTRIBUTION pattern,"ATTRIBUTION cần categorical breakdown để grouping có nghĩa; numeric breakdown (Total Sales, Units Sold) cho ATTRIBUTION vô nghĩa về semantic.","Kết quả cực đoan (0% baseline): toàn bộ 11 ATTRIBUTION insight của baseline dùng numeric breakdown — không có một insight nào đúng cấu trúc. QUGEN của QUIS ngược lại đạt 100% (24/24). Đây là bằng chứng mạnh nhất cho thấy baseline thiếu hiểu biết về pattern semantics."
