Metric,Baseline,IFQ_v4,Winner,Category,Description
1. Faithfulness,100.0%,100.0%,IFQ_v4,Core,Correctness - đúng dữ liệu
2. Statistical Significance,94.0%,91.7%,Baseline,Core,Validity - không phải noise
3. Insight Novelty,92.2%,97.9%,IFQ_v4,Core,Usefulness - khác baseline
4a. Diversity — Semantic,0.330,0.468,IFQ_v4,Core,Semantic diversity (breakdown|measure|pattern|subspace)
4b. Diversity — Subspace Entropy,1.508,1.354,Baseline,Core,Entropy of subspace filter columns used
4c. Diversity — Value,0.323,1.000,IFQ_v4,Core,"Unique (column, value) pairs in subspace / total"
4d. Diversity — Dedup Rate,0.364,0,IFQ_v4,Core,Duplicate rate — lower is better
7. Subspace Rate,31/77 (40.3%),45/97 (46.4%),IFQ_v4,Subspace,Insights with subspace filter / total
7a. Subspace Faithfulness,100.0%,100.0%,IFQ_v4,Subspace,Faithfulness restricted to subspace insights
7b. Subspace Significance,100.0%,97.7%,Baseline,Subspace,Significance restricted to subspace insights
7c. Subspace Novelty,100.0%,100.0%,IFQ_v4,Subspace,Novelty restricted to subspace insights
7d. Subspace Diversity,0.344,0.444,IFQ_v4,Subspace,Semantic diversity restricted to subspace insights
8. Score Uplift from Subspace,Δ=0.000,"Δ=3.545, x=4.361",IFQ_v4,Subspace,Δ = mean(score|subspace) - mean(score|no-subspace)
9. Direction Uplift,flat,up,IFQ_v4,Subspace,Direction of Δ score uplift: up/down/flat
